County,Positive Cases,Date
Albany,36,2020-03-18
Allegany,2,2020-03-18
Broome,1,2020-03-18
Chenango,1,2020-03-18
Clinton,1,2020-03-18
Delaware,1,2020-03-18
Dutchess,20,2020-03-18
Erie,7,2020-03-18
Essex,1,2020-03-18
Greene,2,2020-03-18
Hamilton,1,2020-03-18
Herkimer,1,2020-03-18
Monroe,14,2020-03-18
Montgomery,2,2020-03-18
Nassau,183,2020-03-18
New York City,1339,2020-03-18
Onondaga,2,2020-03-18
Ontario,1,2020-03-18
Orange,32,2020-03-18
Putnam,2,2020-03-18
Rensselaer,4,2020-03-18
Rockland,30,2020-03-18
Saratoga,14,2020-03-18
Schenectady,14,2020-03-18
Suffolk,116,2020-03-18
Sullivan,1,2020-03-18
Tioga,1,2020-03-18
Tompkins,3,2020-03-18
Ulster,9,2020-03-18
Warren,1,2020-03-18
Washington,1,2020-03-18
Westchester,538,2020-03-18
Wyoming,1,2020-03-18
