County,Positive Cases,Date
Albany,205,2020-03-29
Allegany,6,2020-03-29
Broome,29,2020-03-29
Cattaraugus,4,2020-03-29
Cayuga,2,2020-03-29
Chautauqua,5,2020-03-29
Chemung,15,2020-03-29
Chenango,15,2020-03-29
Clinton,13,2020-03-29
Columbia,23,2020-03-29
Cortland,6,2020-03-29
Delaware,8,2020-03-29
Dutchess,320,2020-03-29
Erie,358,2020-03-29
Essex,4,2020-03-29
Franklin,6,2020-03-29
Fulton,1,2020-03-29
Genesee,9,2020-03-29
Greene,7,2020-03-29
Hamilton,2,2020-03-29
Herkimer,10,2020-03-29
Jefferson,7,2020-03-29
Lewis,2,2020-03-29
Livingston,10,2020-03-29
Madison,24,2020-03-29
Monroe,219,2020-03-29
Montgomery,6,2020-03-29
Nassau,6445,2020-03-29
Niagara,38,2020-03-29
New York City,33768,2020-03-29
Oneida,26,2020-03-29
Onondaga,152,2020-03-29
Ontario,18,2020-03-29
Orange,1247,2020-03-29
Orleans,3,2020-03-29
Oswego,8,2020-03-29
Otsego,10,2020-03-29
Putnam,144,2020-03-29
Rensselaer,39,2020-03-29
Rockland,2209,2020-03-29
Saratoga,102,2020-03-29
Schenectady,76,2020-03-29
Schoharie,5,2020-03-29
Schuyler,1,2020-03-29
St Lawrence,12,2020-03-29
Steuben,17,2020-03-29
Suffolk,5023,2020-03-29
Sullivan,88,2020-03-29
Tioga,4,2020-03-29
Tompkins,52,2020-03-29
Ulster,146,2020-03-29
Warren,18,2020-03-29
Washington,7,2020-03-29
Wayne,12,2020-03-29
Westchester,8519,2020-03-29
Wyoming,8,2020-03-29
